plantid,a,a_se,b,b_se,c,c_se,species,photosynthetic_pathway,block,topt,phi_opt
ely-1-11,-0.000312128,2.96718E-05,0.019890586,0.001970048,-0.20462747,0.03043014,ely,c3,1,31.86285482,0.112257957
ely-1-5,-0.000414858,2.76738E-05,0.026125994,0.001822876,-0.265044526,0.027908245,ely,c3,1,31.48784087,0.146281051
ely-2-17,-7.98502E-05,7.73648E-06,0.004842442,0.000502719,-0.042676333,0.00759461,ely,c3,2,30.32202932,0.030740003
ely-2-23,-0.00028876,2.56755E-05,0.018364609,0.001692239,-0.179387955,0.025917562,ely,c3,2,31.79912924,0.112601327
ely-3-35,-7.62806E-05,7.20018E-06,0.005341873,0.000475426,-0.063625098,0.007370356,ely,c3,3,35.01461689,0.029896728
ely-4-41,-0.00064698,7.17881E-05,0.038706295,0.004354884,-0.403796874,0.062083484,ely,c3,4,29.91305626,0.175114918
ely-4-47,-0.000399583,6.09278E-05,0.026332256,0.003836265,-0.279286581,0.055728034,ely,c3,4,32.94964492,0.154532666
ely-5-53,-0.000150807,3.72382E-05,0.009007597,0.002333645,-0.097628475,0.034072924,ely,c3,5,29.86473929,0.036876299
ely-5-59,-0.000215496,3.34112E-05,0.014521066,0.002194783,-0.161812269,0.033532658,ely,c3,5,33.6921343,0.082810592
pas-1-1,-0.000370907,5.04883E-05,0.023065164,0.003165942,-0.218072404,0.04579527,pas,c3,1,31.09289599,0.140508966
pas-1-10,-0.000452224,5.21588E-05,0.027791358,0.003269461,-0.22542029,0.047716912,pas,c3,1,30.72739134,0.201557669
pas-2-16,-0.000299486,2.19835E-05,0.019139389,0.001408127,-0.209074569,0.020983796,pas,c3,2,31.95376691,0.096713213
pas-2-22,-0.000427204,2.20866E-05,0.026140523,0.001404003,-0.223171038,0.020762215,pas,c3,2,30.59492047,0.176712572
pas-2-28,-0.000233975,2.43039E-05,0.015171198,0.001565961,-0.168358597,0.023258085,pas,c3,2,32.42050497,0.077570349
pas-3-34,-0.000387317,2.67516E-05,0.021917311,0.001671625,-0.188577522,0.024330381,pas,c3,3,28.29373872,0.121483813
pas-4-40,-0.000339054,3.97515E-05,0.019640891,0.002492494,-0.192705491,0.036356076,pas,c3,4,28.96421143,0.091735974
pas-4-46,-0.000245763,1.52232E-05,0.015272953,0.000988104,-0.15065911,0.014918646,pas,c3,4,31.07247651,0.086625119
pas-5-52,-0.000689318,6.45433E-05,0.043757817,0.004180286,-0.500033628,0.063597812,pas,c3,5,31.73993412,0.194401482
scz-1-2,-0.000134417,5.33378E-06,0.009375667,0.000354383,-0.087310183,0.005469958,scz,c4,1,34.87526902,0.076179263
scz-1-8,-3.57986E-05,1.55269E-05,0.002990531,0.001027178,-0.023060607,0.015807076,scz,c4,1,41.76888319,0.039394969
scz-2-20,-4.09731E-05,4.38803E-06,0.003369088,0.000289634,-0.038216348,0.004443271,scz,c4,2,41.11343577,0.031041039
scz-3-26,-0.000212933,1.22376E-05,0.01438291,0.000801585,-0.16913435,0.012091901,scz,c4,3,33.77335396,0.073745198
scz-4-38,-0.000106795,7.71396E-06,0.007705443,0.000501895,-0.086423728,0.0075919,scz,c4,4,36.07588325,0.052566604
scz-4-46,-4.27957E-05,8.92777E-06,0.00318239,0.000603199,-0.037664258,0.009560435,scz,c4,4,37.18116991,0.021498243
scz-5-50,-2.90043E-05,5.31451E-06,0.00268406,0.000346023,-0.025283495,0.005237327,scz,c4,5,46.27005456,0.036812298
scz-5-52,-0.000266869,2.01255E-05,0.015671098,0.001267297,-0.158772381,0.0186111,scz,c4,5,29.36099375,0.071287129
sor-1-12,-1.34232E-05,5.41574E-06,0.001802582,0.000356242,-0.021160227,0.005496514,sor,c4,1,67.14452472,0.039356543
sor-1-6,-0.000180071,1.03276E-05,0.013949479,0.000679648,-0.1787566,0.010400553,sor,c4,1,38.73329733,0.091398061
sor-2-18,-7.56475E-05,1.17463E-05,0.005455366,0.00078202,-0.046250027,0.012095247,sor,c4,2,36.05780969,0.052104247
sor-2-24,-8.99358E-05,8.55324E-06,0.006621988,0.000541157,-0.077043301,0.007966235,sor,c4,2,36.81508918,0.04485124
sor-3-30,-0.000170304,8.62428E-06,0.011761828,0.000571752,-0.13868374,0.008804233,sor,c4,3,34.53181714,0.064394914
sor-3-36,-1.41751E-05,3.30882E-06,0.001386909,0.000220369,-0.012107757,0.003409949,sor,c4,3,48.92070694,0.02181653
sor-4-42,-0.000246409,1.49592E-05,0.017372916,0.00099196,-0.21745258,0.015281331,sor,c4,4,35.25223403,0.088764467
sor-4-48,-4.65541E-05,7.26873E-06,0.004268684,0.000477458,-0.046822841,0.007203153,sor,c4,4,45.84647929,0.051029233
sor-5-60,-0.000207191,1.86745E-05,0.014653375,0.001219557,-0.183652946,0.018526533,sor,c4,5,35.36198483,0.075433273
